title,category,price_gbp,price_inr,rating,in_stock,product_url
It's Only the Himalayas,Travel,45.17,4765.44,2,True,https://books.toscrape.com/its-only-the-himalayas_981/index.html
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Travel,49.43,5214.86,4,True,https://books.toscrape.com/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html
See America: A Celebration of Our National Parks & Treasured Sites,Travel,48.87,5155.78,3,True,https://books.toscrape.com/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,36.94,3897.17,2,True,https://books.toscrape.com/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html
Under the Tuscan Sun,Travel,37.33,3938.31,3,True,https://books.toscrape.com/under-the-tuscan-sun_504/index.html
A Summer In Europe,Travel,44.34,4677.87,2,True,https://books.toscrape.com/a-summer-in-europe_458/index.html
The Great Railway Bazaar,Travel,30.54,3221.97,1,True,https://books.toscrape.com/the-great-railway-bazaar_446/index.html
A Year in Provence (Provence #1),Travel,56.88,6000.84,4,True,https://books.toscrape.com/a-year-in-provence-provence-1_421/index.html
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,23.21,2448.66,1,True,https://books.toscrape.com/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html
Neither Here nor There: Travels in Europe,Travel,38.95,4109.23,3,True,https://books.toscrape.com/neither-here-nor-there-travels-in-europe_198/index.html
"1,000 Places to See Before You Die",Travel,26.08,2751.44,5,True,https://books.toscrape.com/1000-places-to-see-before-you-die_1/index.html
Sharp Objects,Mystery,47.82,5045.01,4,True,https://books.toscrape.com/sharp-objects_997/index.html
"In a Dark, Dark Wood",Mystery,19.63,2070.96,1,True,https://books.toscrape.com/in-a-dark-dark-wood_963/index.html
The Past Never Ends,Mystery,56.5,5960.75,4,True,https://books.toscrape.com/the-past-never-ends_942/index.html
A Murder in Time,Mystery,16.64,1755.52,1,True,https://books.toscrape.com/a-murder-in-time_877/index.html
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,44.1,4652.55,4,True,https://books.toscrape.com/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html
The Last Mile (Amos Decker #2),Mystery,54.21,5719.15,2,True,https://books.toscrape.com/the-last-mile-amos-decker-2_754/index.html
That Darkness (Gardiner and Renner #1),Mystery,13.92,1468.56,1,True,https://books.toscrape.com/that-darkness-gardiner-and-renner-1_743/index.html
Tastes Like Fear (DI Marnie Rome #3),Mystery,10.69,1127.79,1,True,https://books.toscrape.com/tastes-like-fear-di-marnie-rome-3_742/index.html
A Time of Torment (Charlie Parker #14),Mystery,48.35,5100.93,5,True,https://books.toscrape.com/a-time-of-torment-charlie-parker-14_657/index.html
A Study in Scarlet (Sherlock Holmes #1),Mystery,16.73,1765.02,2,True,https://books.toscrape.com/a-study-in-scarlet-sherlock-holmes-1_656/index.html
Poisonous (Max Revere Novels #3),Mystery,26.8,2827.4,3,True,https://books.toscrape.com/poisonous-max-revere-novels-3_627/index.html
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,54.36,5734.98,4,True,https://books.toscrape.com/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html
Most Wanted,Mystery,35.28,3722.04,3,True,https://books.toscrape.com/most-wanted_623/index.html
Hide Away (Eve Duncan #20),Mystery,11.84,1249.12,1,True,https://books.toscrape.com/hide-away-eve-duncan-20_620/index.html
Boar Island (Anna Pigeon #19),Mystery,59.48,6275.14,3,True,https://books.toscrape.com/boar-island-anna-pigeon-19_613/index.html
The Widow,Mystery,27.26,2875.93,2,True,https://books.toscrape.com/the-widow_609/index.html
Playing with Fire,Mystery,13.71,1446.41,3,True,https://books.toscrape.com/playing-with-fire_602/index.html
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,25.37,2676.54,5,True,https://books.toscrape.com/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,52.3,5517.65,5,True,https://books.toscrape.com/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,20.89,2203.89,4,True,https://books.toscrape.com/delivering-the-truth-quaker-midwife-mystery-1_464/index.html
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,24.8,2616.4,4,True,https://books.toscrape.com/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html
In the Woods (Dublin Murder Squad #1),Mystery,38.38,4049.09,2,True,https://books.toscrape.com/in-the-woods-dublin-murder-squad-1_433/index.html
The Silkworm (Cormoran Strike #2),Mystery,23.05,2431.78,5,True,https://books.toscrape.com/the-silkworm-cormoran-strike-2_280/index.html
The Exiled,Mystery,43.45,4583.98,3,True,https://books.toscrape.com/the-exiled_247/index.html
The Cuckoo's Calling (Cormoran Strike #1),Mystery,19.21,2026.66,1,True,https://books.toscrape.com/the-cuckoos-calling-cormoran-strike-1_239/index.html
Extreme Prey (Lucas Davenport #26),Mystery,25.4,2679.7,3,True,https://books.toscrape.com/extreme-prey-lucas-davenport-26_154/index.html
Career of Evil (Cormoran Strike #3),Mystery,24.72,2607.96,2,True,https://books.toscrape.com/career-of-evil-cormoran-strike-3_137/index.html
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,57.7,6087.35,4,True,https://books.toscrape.com/the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html
The Girl You Lost,Mystery,12.29,1296.59,5,True,https://books.toscrape.com/the-girl-you-lost_66/index.html
The Girl In The Ice (DCI Erika Foster #1),Mystery,15.85,1672.17,3,True,https://books.toscrape.com/the-girl-in-the-ice-dci-erika-foster-1_65/index.html
Blood Defense (Samantha Brinkman #1),Mystery,20.3,2141.65,3,True,https://books.toscrape.com/blood-defense-samantha-brinkman-1_8/index.html
1st to Die (Women's Murder Club #1),Mystery,53.98,5694.89,1,True,https://books.toscrape.com/1st-to-die-womens-murder-club-1_2/index.html
A Light in the Attic,Poetry,51.77,5461.74,3,True,https://books.toscrape.com/a-light-in-the-attic_1000/index.html
The Black Maria,Poetry,52.15,5501.82,1,True,https://books.toscrape.com/the-black-maria_991/index.html
Shakespeare's Sonnets,Poetry,20.66,2179.63,4,True,https://books.toscrape.com/shakespeares-sonnets_989/index.html
Olio,Poetry,23.88,2519.34,1,True,https://books.toscrape.com/olio_984/index.html
You can't bury them all: Poems,Poetry,33.63,3547.97,2,True,https://books.toscrape.com/you-cant-bury-them-all-poems_961/index.html
